Moisture content                  (10-15%),Resisitivity (ohm.m/ Ω.m),,Moisture content                  (15-20%),Resisitivity (ohm.m/ Ω.m)
14.39,436.76,,15.68,432.10
10.66,415.53,,18.46,186.41
11.35,2732.25,,16.92,235.58
13.60,1276.04,,16.39,4616.57
12.34,946.18,,17.22,2103.06
12.55,99.44,,19.82,1965.44
12.78,138.74,,19.57,1191.01
14.44,7428.98,,16.12,1148.05
10.67,3868.30,,19.53,33.62
14.30,582.06,,16.09,427.40
13.34,607.94,,18.51,757.34
14.40,880.46,,19.12,706.95
13.44,1429.85,,19.84,534.35
13.92,2474.62,,16.25,1091.90
13.04,955.85,,18.03,112.90
14.51,875.57,,20.28,84.51
14.81,2153.93,,18.68,81.08
14.25,624.60,,20.09,29.39
10.51,2459.24,,20.86,55.40
11.20,524.70,,16.02,145.23
13.50,360.16,,17.55,70.40
,,,20.58,610.20
,,,19.98,2059.67
,,,17.54,2483.99
,,,19.44,1521.14
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Moisture content                  (21-25%),Resisitivity (ohm.m/ Ω.m),,Moisture content                  (25-30%),Resisitivity (ohm.m/ Ω.m)
21.06,2124.28,,27.12,1148.19
23.84,2934.13,,27.07,1936.95
22.4,1743.64,,27.73,1164.38
22.83,1230.19,,27.35,1709.61
24.6,885.94,,26.19,887.25
21.71,1471.62,,27.83,134.77
25.69,10.74,,30.52,113.33
21.53,5918.24,,27.32,299.18
25.32,3430.98,,27.35,527.39
23.84,1137.57,,27.82,920.59
24.11,81.30,,26.59,139.15
22.43,137.87,,26.14,151.32
23.96,121.13,,27.09,219.72
21.87,106.85,,28.18,527.19
23.37,4166.87,,28.63,304.39
23.87,187.80,,29.97,224.63
24.55,769.50,,29.22,1994.47
24.16,55.23,,26.22,2012.40
23.76,1714.05,,26.86,2212.00
23.29,1538.49,,,
21.36,1830.37,,,
22.73,1368.26,,,
24.5,2020.62,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Moisture content                  (30-45%),Resisitivity (ohm.m/ Ω.m),,Moisture content                  (45-55%),Resisitivity (ohm.m/ Ω.m)
31.36,1238.64,,53.47,40.93
31.55,2907.50,,52.7,260.84
35.36,1671.40,,,
43.19,1304.76,,,
42.51,735.99,,,
35.21,1507.21,,,
32.68,616.12,,,
33.67,66.35,,,
35.06,250.57,,,
39.05,44.72,,,
38.52,203.75,,,
42.08,46.97,,,
32.64,2622.00,,,
39.22,162.49,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Moisture content                  (55-100%),Resisitivity (ohm.m/ Ω.m),,Moisture content                  (100-150%),Resisitivity (ohm.m/ Ω.m)
64.45,101.62,,122.64,11.94
66.32,48.13,,158.46,7.10
71.91,40.54,,147.64,5.31
89.74,81.37,,134.30,4.34
63.41,166.40,,126.55,11.91
72.75,69.11,,142.88,7.27
,,,132.66,2.60
,,,141.80,4.79
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
