Location,Latitude,Longitude
UTP Perak,4.383841545,100.9711978
"Pinji Perdana, Perak",4.522259263,101.0751779
"Sg. Koyan, Pahang",4.258812685,101.8252584
"Pudu Ulu, Kuala Lumpur",3.119926594,101.7306685
"Shah Alam, Selangor",3.07314704,101.5235644
"Puncak Perdana, Selangor",3.135983112,101.4937453
"Hutan Melintang, Perak",3.900149813,100.9526214
"Kota Kuala Muda, Kedah",5.588551223,100.3758938
"Kg. Morten, Melaka",2.20614349,102.2493845
"Kuala Perlis, Perlis",6.403749782,100.1469191
"Cameron Highland, Pahang",4.486203742,101.5183568
"Pulau Indah, Selangor",2.949134829,101.3306034
"Pekan, Pahang",3.484194493,103.3189118
"Damansara, Kuala Lumpur",3.14993631,101.657701
"Selayang, Selangor",3.26151937,101.6547084
"Parit, Perak",4.508980019,100.9035048
"Klang, Selangor",3.0443357,101.4375623
"Sungkai, Perak",3.997949399,101.3058092
"Cyberjaya, Selangor",2.921060883,101.6590511
"Bandar Puteri Jaya, Kedah",5.621962125,100.5341218
"Marang, Terengganu",5.211422011,103.2020503
"Muar, Johor",2.062828366,102.5856303
"Tronoh, Perak?",4.423190208,100.9940125
